SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
22024,1630552,0022400378,"DEC 21, 2024",ATL vs. MEM,L,33,4,12,0.333,1,3,0.333,4,5,0.8,1,10,11,8,2,0,3,0,13,-16,87.3,89.1,107.6,105.7,-20.3,-16.7,0.4,2.67,32.0,0.031,0.286,0.164,12.0,0.375,0.458,0.198,0.206,114.76,114.85,95.71,79,0.145
22024,1630552,0022400370,"DEC 19, 2024",ATL @ SAS,L,39,8,14,0.571,1,1,1.0,5,6,0.833,1,8,9,3,2,3,4,0,22,-1,117.4,115.5,114.6,115.0,2.8,0.5,0.1,0.75,12.5,0.027,0.2,0.117,16.7,0.607,0.661,0.219,0.22,109.18,108.43,90.36,86,0.127
22024,1630552,0022401229,"DEC 14, 2024",ATL @ MIL,L,39,6,15,0.4,0,4,0.0,3,5,0.6,1,9,10,4,1,0,1,3,15,-11,90.8,92.7,104.7,104.4,-13.8,-11.6,0.2,4.0,18.2,0.023,0.225,0.119,4.5,0.4,0.436,0.196,0.202,105.19,106.14,88.45,87,0.108
22024,1630552,0022401202,"DEC 11, 2024",ATL @ NYK,W,41,8,20,0.4,1,5,0.2,4,6,0.667,4,11,15,7,2,2,3,1,21,16,109.2,109.1,94.0,92.6,15.1,16.5,0.233,2.33,21.9,0.07,0.22,0.14,9.4,0.425,0.464,0.229,0.236,100.42,99.65,83.04,87,0.157
22024,1630552,0022400334,"DEC 06, 2024",ATL vs. LAL,W,35,4,8,0.5,1,4,0.25,3,4,0.75,0,10,10,7,1,0,6,4,12,6,105.0,105.5,100.0,103.6,5.0,1.9,0.25,1.17,30.4,0.0,0.294,0.143,26.1,0.563,0.615,0.176,0.183,107.22,109.38,91.15,80,0.097
22024,1630552,0022400323,"DEC 04, 2024",ATL @ MIL,W,40,10,19,0.526,0,2,0.0,3,3,1.0,3,10,13,5,2,1,3,1,23,3,102.3,98.4,97.8,98.5,4.5,-0.1,0.2,1.67,17.9,0.057,0.227,0.134,10.7,0.526,0.566,0.217,0.218,107.99,106.31,88.59,88,0.194
22024,1630552,0022400315,"DEC 02, 2024",ATL vs. NOP,W,32,9,14,0.643,1,4,0.25,0,0,0.0,0,7,7,5,1,1,4,1,19,5,120.3,120.0,113.5,112.6,6.8,7.4,0.185,1.25,21.7,0.0,0.175,0.103,17.4,0.679,0.679,0.217,0.225,112.69,112.11,93.42,74,0.135
22024,1630552,0022400300,"NOV 30, 2024",ATL @ CHA,W,38,8,12,0.667,4,6,0.667,0,0,0.0,0,3,3,9,0,3,4,2,20,15,124.1,125.6,102.5,102.8,21.6,22.8,0.346,2.25,36.0,0.0,0.064,0.039,16.0,0.833,0.833,0.176,0.182,99.2,100.0,83.33,79,0.148
22024,1630552,0022400041,"NOV 29, 2024",ATL vs. CLE,W,35,9,14,0.643,2,4,0.5,0,0,0.0,0,9,9,7,1,0,3,2,20,17,110.3,110.0,88.5,92.4,21.8,17.6,0.304,2.33,29.2,0.0,0.205,0.127,12.5,0.714,0.714,0.205,0.212,104.84,107.03,89.19,78,0.182
22024,1630552,0022400287,"NOV 27, 2024",ATL @ CLE,W,35,9,16,0.563,2,4,0.5,2,2,1.0,2,7,9,7,1,1,2,2,22,10,129.1,129.6,116.5,116.3,12.7,13.4,0.28,3.5,26.9,0.056,0.189,0.123,7.7,0.625,0.652,0.204,0.21,108.67,108.81,90.67,79,0.148
